"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
NA	1.6825257933034	10.0657818783408	21.7596726431237	1.57151435267669e-06	0.0138947876240667	4.84804458095985
"FOS"	1.67830762782339	8.53654156746448	21.5807232838704	1.64349682925435e-06	0.0138947876240667	4.82753977167249
"GABRP"	1.86881379038737	5.94516222501828	21.0704111327499	1.87118386103156e-06	0.0138947876240667	4.76697953164047
"MYC"	1.2686123799968	10.783222143687	17.5637936242332	5.0083067401639e-06	0.0276172954114617	4.25003842638326
"IFI6"	1.75151229696625	8.77118542204056	15.878952676409	8.62193424555742e-06	0.0276172954114617	3.92067650102165
"EED"	-1.73144820707211	6.12549534656755	-15.6752246036793	9.2417339133953e-06	0.0276172954114617	3.87632300820096
"BCL2"	1.15473728540297	6.42101419575054	15.4414988239872	1.00186535296927e-05	0.0276172954114617	3.82410985094364
"IFI27"	2.17250464565126	9.06020997929817	15.1975622034796	1.09130185661057e-05	0.0276172954114617	3.76805049904034
"IDS"	1.22144354021195	5.13607308949518	15.134962828402	1.11575014006893e-05	0.0276172954114617	3.75339987396245
"PROS1"	1.07559644415073	6.66389221599872	14.6718250775602	1.31814780218626e-05	0.0276966949844141	3.64152166880753
"ATP5C1"	-1.9900565962257	6.54043267310495	-14.4331459346209	1.4392394780254e-05	0.0276966949844141	3.58137437696075
"GABBR2"	1.06648887154292	5.6041455004157	14.3365482967777	1.49194388747573e-05	0.0276966949844141	3.55653086375667
NA	1.01908730481226	7.27638716468888	14.0040554148856	1.69158608082284e-05	0.0289872793249926	3.46873745718643
"BLNK"	1.10525493507076	6.46700951298693	13.7434793104247	1.8702872378339e-05	0.0290704959597303	3.39737543157202
"TAF1D"	-1.04051920310023	6.82465550917675	-13.6268368715423	1.95743340394108e-05	0.0290704959597303	3.36467669616034
"SRSF7"	-0.93519100535711	9.18684761275758	-12.6954998270431	2.85515809158744e-05	0.0397527230039334	3.08568423306815
"ABCA12"	1.12837027639791	7.60644498843318	12.4720163491737	3.13804393376233e-05	0.0411212968896608	3.01368070711263
"ACTB"	-0.935741095616603	11.0018718041808	-12.1542816740678	3.59913626392152e-05	0.044080991825358	2.9076745942395
NA	0.859244420897487	5.95609343125326	11.8129674920208	4.1860578465931e-05	0.044080991825358	2.7888177673637
"CYFIP2"	1.06804573923295	6.55859268029729	11.7485420018008	4.30911111369666e-05	0.044080991825358	2.76578085211898
"TYRP1"	0.992897753168974	7.21641260277161	11.6411879159498	4.52374467067243e-05	0.044080991825358	2.7269573713035
"CEP152"	-0.832482779285488	4.58817792356159	-11.5895045331074	4.6315472513488e-05	0.044080991825358	2.70806975417776
NA	-0.977161678753299	7.21005955493924	-11.5867919862499	4.63728811472163e-05	0.044080991825358	2.7070748930104
