"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"MSMB"	-2.07146278148995	8.06813972349999	-29.1212781215798	1.65355477620189e-06	0.0077743758762233	5.66300812629728
"TNS3"	2.43611287895096	7.80135278566871	28.3470665910247	1.87657289265384e-06	0.0077743758762233	5.58676122029213
NA	-1.97062880983945	7.07573095614943	-27.3475746354275	2.22095761620314e-06	0.0077743758762233	5.48204055290734
NA	-2.06267881766902	9.43697016042347	-26.5186432446458	2.56604321148572e-06	0.0077743758762233	5.38939126690114
NA	-1.8500381777758	9.67291084117414	-25.7206551264427	2.96145432868649e-06	0.0077743758762233	5.29483287425287
NA	-2.0855966398848	6.23708853112541	-24.6698713272161	3.60113121068217e-06	0.0077743758762233	5.16161315852392
"MSMB"	-2.25971778842216	7.94226790940527	-24.4074948776609	3.78620203558021e-06	0.0077743758762233	5.12670254473693
"NUSAP1"	1.92146542476328	8.6583008575809	23.8728182576973	4.20030008812876e-06	0.0077743758762233	5.05340577851768
"DEPDC1"	2.07827700782579	8.03374530559715	23.5865477959962	4.44452777073098e-06	0.0077743758762233	5.01293276224453
"PIK3R1"	1.89941200513972	6.58174132831714	23.4060525381216	4.60736896179131e-06	0.0077743758762233	4.98695956718212
"AMIGO2"	-1.57002400517681	11.9369875790654	-22.6902680937122	5.32865564032914e-06	0.0077743758762233	4.88036335313158
"AOX1"	1.7705740763903	5.55985631262617	22.2714625647034	5.81422109379418e-06	0.0077743758762233	4.81521667382909
"RAD21"	1.53258029482329	9.48232944177744	22.1999186740761	5.9024389060887e-06	0.0077743758762233	4.8038746578919
"WISP2"	1.73332680126756	8.70984683657648	22.0817604207185	6.05170990723805e-06	0.0077743758762233	4.7850038904578
NA	-1.88770951858929	8.54722597916711	-21.7813486721242	6.45229556667851e-06	0.0077743758762233	4.73623425774868
"PSD3"	1.55157006878958	6.95988941703802	21.1919973027547	7.33563112668395e-06	0.0077743758762233	4.63714483835463
"SULF1"	1.74715464967764	6.98128997445734	21.1282956181668	7.43963157467452e-06	0.0077743758762233	4.62615511733371
"TGFBI"	1.46105976247705	9.67470849008548	20.8101716966176	7.98652353616276e-06	0.0077743758762233	4.57043041953836
NA	-1.52147727297338	4.5889275315339	-20.7196698835477	8.15091293924565e-06	0.0077743758762233	4.55431695185729
"BCL6"	1.45991309474528	8.15585536427024	20.5696361436146	8.43255446043724e-06	0.0077743758762233	4.52734498321098
NA	-1.52036411208338	4.74773263671007	-20.441159943606	8.68313305797672e-06	0.0077743758762233	4.50398835898842
"SCNN1A"	1.77134175344955	6.99627451746445	20.2718261709213	9.02731051339262e-06	0.0077743758762233	4.47283174268255
"PKIA"	1.44697743219985	8.103005714223	20.04082369345	9.5238559120505e-06	0.0077743758762233	4.42963342331597
"GABBR2"	2.42494536862552	6.09938841530845	19.9295858997057	9.77472930720482e-06	0.0077743758762233	4.40854041304673
"COL5A2"	1.6037066893969	6.89304122275292	19.9225710836794	9.79081609972205e-06	0.0077743758762233	4.40720383748812
NA	-1.79647561734902	7.39269456119642	-19.8468800902612	9.96644887977093e-06	0.0077743758762233	4.39273319968884
"EPAS1"	1.46079547955924	9.14422354119768	19.7875136805162	1.01068745252578e-05	0.0077743758762233	4.38132072880798
"PTGER4"	-1.70804902898053	9.62508012664358	-19.6918958924399	1.03381172839635e-05	0.0077743758762233	4.36282241895871
"GRB14"	1.46497718884198	8.19187074560388	19.5598133295797	1.06681685984545e-05	0.0077743758762233	4.33702987616538
"S100A7"	-1.36213298468483	5.34166609314625	-19.5035265299341	1.08126855291058e-05	0.0077743758762233	4.3259530720034
NA	-1.49205164620431	7.14964556432484	-19.3058074015928	1.13394628283856e-05	0.0077743758762233	4.28663374411382
NA	-1.77435170429716	5.07149931633213	-19.2882476685833	1.13877318622071e-05	0.0077743758762233	4.28311060013518
"TNFRSF11B"	-1.75232624623301	6.91559004227557	-19.0660638100458	1.2020483639037e-05	0.0077743758762233	4.23808664194878
"ABCA12"	-1.7126160585134	6.26046139455303	-19.008330270601	1.2191809575892e-05	0.0077743758762233	4.22625077293833
"HIRA"	-1.42208758234726	8.83068714176447	-18.7608373745871	1.29605807810855e-05	0.0077743758762233	4.17486216277666
"USO1"	1.42653059451776	7.17887614742864	18.6533147335852	1.33127770285368e-05	0.0077743758762233	4.15220298110434
"SERPINA3"	-1.73807714530945	11.1190704676716	-18.6416139390412	1.33517980383124e-05	0.0077743758762233	4.14972482196334
"SLC27A6"	1.32370728612746	8.96786295927296	18.5443308378618	1.36816422220135e-05	0.0077743758762233	4.12902625365594
"THBD"	1.27965408003696	6.79065657730219	18.5074708453134	1.38091874634843e-05	0.0077743758762233	4.12113934772409
"PLOD2"	1.29824460606947	9.71883412722463	18.2905457665605	1.45896378186786e-05	0.0077743758762233	4.07422408733957
"HS3ST3A1"	-1.28877088273818	9.89316424684835	-18.2705681552924	1.46641631204513e-05	0.0077743758762233	4.06986004269591
NA	-1.77182491917126	8.05213535555974	-18.2137127270693	1.48787925667606e-05	0.0077743758762233	4.05739966718089
NA	-1.31856344020214	9.36139274000126	-18.1803706968952	1.50064264792208e-05	0.0077743758762233	4.05006447614064
"THBD"	1.35164252460396	7.80270240349753	17.9014823676321	1.61275599156263e-05	0.00805810945990952	3.98788819821699
"EFNB2"	1.45425339137487	7.10251666302769	17.865954836402	1.6277547501725e-05	0.00805810945990952	3.97986087164061
"EEA1"	1.43565767249667	5.26911184105223	17.6822944556026	1.70803655199765e-05	0.00812408130034451	3.9379718216211
